# Source : patch region0_to_panelRegion_panel
# Faces  : 10
# Time	sum(magSf)	sum(phi)	sum(HRR_fu)
2.21905	0.1	-0.000293968	13531.7
2.22857	0.1	-0.000298864	13770.3
2.2381	0.1	-0.000303037	13971.9
2.24762	0.1	-0.000306737	14149
2.25714	0.1	-0.000310111	14309.5
2.26667	0.1	-0.000313255	14458.1
2.27619	0.1	-0.000316225	14598.1
2.28571	0.1	-0.000319066	14738.8
2.29524	0.1	-0.000340431	15557.4
2.30476	0.1	-0.000353729	16246.9
2.31429	0.1	-0.000362269	16682.2
2.32381	0.1	-0.000368373	16985.7
2.33333	0.1	-0.000373222	17221.8
2.34286	0.1	-0.000377346	17420
2.35238	0.1	-0.000381043	17595.9
2.3619	0.1	-0.000384449	17757
2.37143	0.1	-0.000387654	17908
2.38095	0.1	-0.000390717	18059.4
2.39048	0.1	-0.000414585	18988.4
2.4	0.1	-0.000428118	19697.8
2.41	0.1	-0.000436611	20131.1
2.42	0.1	-0.000440852	20366.3
2.42947	0.1	-0.000446773	20623.5
2.43895	0.1	-0.000453691	20934.1
2.44842	0.1	-0.000456851	21117.9
2.45789	0.1	-0.000460135	21270.5
2.46737	0.1	-0.000463346	21420.9
2.47684	0.1	-0.000466474	21563.5
2.48632	0.1	-0.000456415	21169.1
2.49579	0.1	-0.000454909	21053.4
2.50526	0.1	-0.000456064	21093
2.51474	0.1	-0.000458201	21187.7
2.52421	0.1	-0.00046073	21304.1
2.53368	0.1	-0.000463403	21428.4
2.54316	0.1	-0.000466123	21555.3
2.55263	0.1	-0.000468835	21682.1
2.56211	0.1	-0.000471513	21807.5
2.57158	0.1	-0.000474147	21920.7
2.58105	0.1	-0.000452988	21145.9
2.59053	0.1	-0.000442734	20591.1
2.6	0.1	-0.000437413	20304.8
2.60952	0.1	-0.000434707	20156.8
2.61905	0.1	-0.000433319	20081
2.62857	0.1	-0.000433099	20059.6
2.6381	0.1	-0.000433469	20071.3
2.64762	0.1	-0.000434231	20103
2.65714	0.1	-0.000435259	20148.2
2.66667	0.1	-0.000436472	20194.3
2.67619	0.1	-0.000421656	19680.8
2.68571	0.1	-0.000412998	19225.9
2.69524	0.1	-0.000407558	18943.2
2.70476	0.1	-0.000404071	18761.5
2.71429	0.1	-0.000401825	18644
2.72381	0.1	-0.000400426	18569.5
2.73333	0.1	-0.000399629	18525.5
2.74286	0.1	-0.000399293	18504.4
2.75238	0.1	-0.000399277	18499.7
2.7619	0.1	-0.000399516	18522.5
2.77143	0.1	-0.000430343	19700.3
2.78095	0.1	-0.000451822	20789.9
2.79048	0.1	-0.00046477	21459.4
2.8	0.1	-0.000472397	21852
2.81	0.1	-0.000476973	22085.2
2.82	0.1	-0.000478002	22162.5
2.82947	0.1	-0.000480544	22262.1
2.83895	0.1	-0.000484291	22419.9
2.84842	0.1	-0.000484859	22474.5
2.85789	0.1	-0.000485498	22535.1
2.86737	0.1	-0.000558933	25255
2.87684	0.1	-0.000602229	27525
2.88632	0.1	-0.000626963	28818.7
2.89579	0.1	-0.000642847	29631.6
2.90526	0.1	-0.000653991	30193.5
2.91474	0.1	-0.00066236	30610.1
2.92421	0.1	-0.000668872	30932.4
2.93368	0.1	-0.00067417	31191.9
2.94316	0.1	-0.000678597	31407.7
2.95263	0.1	-0.00068232	31607.2
2.96211	0.1	-0.000727117	33255.6
2.97158	0.1	-0.00075365	34641.5
2.98105	0.1	-0.000771301	35542.5
2.99053	0.1	-0.000784207	36190.3
3	0.1	-0.000794189	36686.1
